3804,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U
3806,PAPA HUAMANTANGA
3807,PAPA NEGRA ANDINA
3809,PAPA PERUANITA (INJERTO)
3810,PAPA PERRICHOLI
3811,PAPA YUNGAY
3813,PAPA UNICA
3814,PAPA LENGUA
3815,PAPA LIBERTEÑA
3816,PAPA NEGRA VIUDA
3817,PAPA CANCHAN
3818,PAPA AMARILIS
3902,PAPA SECA MOLI.BLAN/HUAY/AMARI
4001,PEPINILLO
4101,PEREJIL NACIONAL(CRIOLLO/SERRANO)
4201,PIMIENTO MORRON/INJERTO/RANGER
4301,PORO (CRIOLLO/SERRANO)
4401,QUINUA PERLADA CHICA/GRANDE(LAV/PRO)
4501,RABANITO (CRIOLLO/SERRANO)
4802,TOMATE MARZANO (CUADR-RT4/ITAL/RIO GRAN)
4805,TOMATE ORGANICO
4901,TRIGO MOTE S/CASCARA/HUARAZ/OTROS
4902,TRIGO MOTE C/CASCARA
4903,TRIGO RESBALADO (CORRIENTE/ESTAQUILLA)
5001,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD
5201,YUCA AMARILLA/LEGITIM/INJERTA(COS/SEL)
5202,YUCA BLANCA/LEGITIMO/INJERTA(COST/SELV)
5301,ZANAHORIA (CRIOLLA-SERRANA)
5401,ZAPALLO ITALIANO
5402,ZAPALLO LOCHE
5403,ZAPALLO MACRE(COSTA/SIERRA/SELVA)
5404,ZAPALLO AVINCA
7204,MANGO HADEN/HAYDE
7215,MANGO EDWARD PLANTA
7222,MANGO HADEN HUACA
7301,MANZANA DELICIA(COSTA)
7305,MAZANA CORRIENTE PARA AGUA
7401,MARACUYA COSTA
7807,NARANAJA TANGELO SELVA
0101,ACELGA
0201,AJI AMARILLO SECO
0202,AJI ESCABECHE FRESCO/ZANAHOR/LISO
0206,AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA)
0208,AJI SECO PANCA
0209,AJI ROCOTO (COSTA/SIERRA/SELVA)
0210,AJI LIMO (COSTA/SELVA)
0211,PAPRIKA
0302,AJO CRIOLLO O NAPURI
0303,AJO MORADO/BARRAN/LEGIT/OTROS
0305,AJO SERRANO SEMILLA CORRIENTE/ARICOTA
0401,ALBAHACA
0501,ALCACHOFA CRIOLLA
0502,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA
0601,APIO
0701,ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR)
0702,ARVEJA VERDE AZUL (CRIOLLA/SERRANA)
0703,ARVEJA VERDE BLANCA CRIOLLA
0704,ARVEJA VERDE BLANCA SERRANA
0705,ARVEJA SECA ENTERA
0706,ARVEJA SECA PART. AMERICANA
0707,ARVEJA SECA PART. NACIONAL
0709,CREMA DE ARVEJA (MORON DE ARVEJA)
0801,BERENJENA (CRIOLLA/SERRANA)
0901,BETERRAGA (CRIOLLA/SERRANA)
1001,CAIGUA (CRIOLLA/SERRANA)
1002,CAIGUA (SELVA)
1201,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU
1202,CAMOTE NEMAÑETE
