AÑO,CODIGO,PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,PROMEDIO
2006,2404,HABA VERDE CRIOLLA/SRTA/GERG/PACAE/AMAR,,,,,,0.97,0.63,0.55,0.68,1.04,0.67,,0.76
2006,2405,HABA VERDE SERRANA,1.02,0.87,0.91,0.7,0.7,1.17,0.72,0.83,1.04,1.22,0.87,0.84,0.91
2006,2407,HABA SECA IMPORTADA,,,,,,,,2.37,,,,,2.37
2006,2501,HIERBA BUENA (CRIOLLA/SERRANA),1.15,1.32,1.77,1.28,1.41,1.25,1.24,1.15,1.11,1.21,1.08,1.18,1.26
2006,2601,JOLANTAU/ORGANICA,5.01,12.7,7.88,5.57,5.29,5.08,4.16,5.8,4.58,3.34,4.24,5.38,5.75
2006,2602,COL CHINA/LONGAPA,1.47,1.72,2.41,2.78,1.89,1.5,1.2,1.52,1.66,1.64,1.41,1.54,1.73
2006,2603,PACCHOY,2.9,3.5,4.34,3.67,3.12,2.72,2.45,5.18,2.82,2.37,2.58,3.06,3.23
2006,2615,KION (COSTA/SELVA),1.12,1.16,1.24,1.32,1.2,1.09,1.06,0.93,0.93,0.95,0.91,0.95,1.07
2006,2617,FREJOLITO CHINO,1.83,1.95,1.87,1.91,1.94,1.85,1.73,1.83,1.82,1.83,1.72,1.8,1.84
2006,2618,BROCOLI,1.31,1.71,1.45,1.28,1.24,1.03,0.97,1.5,1.51,1.65,1.11,1.24,1.33
2006,2620,PEREJIL CRESPO/CHINO/AMERICANO,,,,,2.26,2.29,2.16,2.31,2.04,2.09,1.97,2.23,2.17
2006,2622,CALABAZA CHINA,0.98,,0.93,,,,0.94,,,0.78,0.8,1.12,0.93
2006,2701,HUACATAY (CRIOLLO/SERRANO),1.14,1.1,1.06,0.9,1.46,1.66,1.33,1.16,1.43,1.47,1.58,1.31,1.3
2006,2801,LECHUGA AMERICANA (CRIOLLA/SERRANA),1.18,1.65,1.4,1.16,1.11,1.12,1.11,1.23,0.97,0.79,0.77,0.92,1.12
2006,2802,LECHUGA CRIOLLA SEDA,1.74,,,,1.88,1.71,1.48,1.65,1.6,1.62,1.45,1.53,1.63
2006,2803,LECHUGA SERRANA SEDA,1.84,1.85,1.67,1.69,1.87,,1.8,2.05,,,1.78,1.87,1.82
2006,2804,ROMANA/HIDROFONICA/BLANCA/ROJA/ORGANICA,0.81,1.27,1.05,0.83,0.87,0.91,0.88,0.81,0.73,0.65,0.62,0.66,0.84
2006,2902,LENTEJA SECA IMPORTADA,3.3,2.75,2.75,2.9,,2.9,2.7,,,,2.7,,2.86
2006,2903,LENTEJA SECA NACIONAL,,,,,,,,1.9,,,,,1.9
2006,2904,LENTEJON SECA NACIONAL,,,,,,,,2.23,,,,,2.23
2006,2905,LENTEJON SECA IMPORTADO,,,,,,,,,,,2.7,,2.7
2006,2906,LENTEJA-VERDE/CORRIENTE,,,,,0.71,0.72,1,0.83,0.85,0.86,0.77,0.8,0.82
2006,2907,LENTEJA-VERDE BOCONA/SARANDAJA,0.9,,,1.01,0.89,0.84,0.77,0.85,0.88,0.87,0.82,0.84,0.87
2006,2908,LENTEJA-SECA BOCONA/SARANDAJA IMP.,,,,,,0.92,0.85,,,,,,0.89
2006,2909,LENTEJA SECA BABY,3.3,2.9,2.9,2.9,,,2.7,1.9,,,2.7,,2.76
2006,3001,LIMON CITRICO CAJON,0.81,0.8,0.89,0.77,0.57,0.74,1.12,1.22,1.18,0.79,0.72,0.83,0.87
2006,3002,LIMON CITRICO BOLSA,0.7,0.63,0.72,0.63,0.55,0.61,1,1.05,1.05,0.74,0.72,0.63,0.75
2006,3105,MAIZ BLANCO S/CASC. MOTE/MONT/CUZCO,2.8,,,3,,,2.4,2.93,,,2.1,,2.65
2006,3107,MAIZ CANCHA/BLANCO,1.75,,,2,,,1.9,,,,1.9,,1.89
2006,3109,MAIZ JORA PARTIDO,1.9,1.95,1.9,1.8,,,1.9,1.43,,,1.95,,1.83
2006,3110,MAIZ MONTAÑA,2.1,,,2.18,,,,,,,1.9,,2.06
2006,3111,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,0.88,1.11,1.42,1.66,1.06,0.96,0.91,0.85,0.89,0.98,1.09,1.02,1.07
2006,3113,MAIZ POR CORN IMPORTADO,2.5,,,,,,2.5,,,,2.5,,2.5
2006,3114,MAIZ COLOR,1.95,,,,,,1.9,,,,,,1.93
2006,3115,MAIZ CHULLPE/PACCHO,,,,,,,2.9,,,,,,2.9
2006,3116,MAIZ (HARINA)APANAR Y TAMAL,1.4,,,,,,1.4,,,,1.3,,1.37
2006,3117,MARLO/CORONTA DE MAIZ MORADO,3.46,3.55,4.07,4.1,3.84,3.74,3.95,3.7,3.55,3.46,3.39,3.45,3.69
2006,3202,MANI PELADO (CRIOLLO/SERRANO),4.3,,,4.25,,,3.7,,,,,,4.08
2006,3301,NABO (CRIOLLO/SERRANO),0.66,1,0.74,0.59,0.7,0.61,0.63,0.94,0.82,0.74,0.73,0.73,0.74
2006,3401,OREGANO (CRIOLLO/SERRANO),0.88,1.04,1.03,1.02,,,,,,,,,0.99
